Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01733620 -12.8900 0.0600 90.0000
 0 0.01584270 -12.8900 0.0600 90.0000
 0 0.01861760 -12.8900 0.0600 90.0000
 0 0.01598470 -12.8900 0.0600 90.0000
 0 0.01716930 -12.8900 0.0600 90.0000
 0 0.01606760 -12.8900 0.0600 90.0000
 0 0.01632120 -12.8900 0.0600 90.0000
 0 0.01574930 -12.8900 0.0600 90.0000
 0 0.01637930 -12.8900 0.0600 90.0000
 0 0.01740970 -12.8900 0.0600 90.0000
 0 0.01692220 -12.8900 0.0600 90.0000
 0 0.01682670 -12.8900 0.0600 90.0000
 0 0.01666330 -12.8900 0.0600 90.0000
 0 0.01606090 -12.8900 0.0600 90.0000
 0 0.02020630 -12.8900 0.0600 90.0000
 0 0.01608280 -12.8900 0.0600 90.0000
 0 0.01824820 -12.8900 0.0600 90.0000
 0 0.01273800 -12.8900 0.0600 90.0000
 0 0.01720990 -12.8900 0.0600 90.0000
 0 0.01727450 -12.8900 0.0600 90.0000
 0 0.01466890 -12.8900 0.0600 90.0000
 0 0.01545390 -12.8900 0.0600 90.0000
 0 0.01806580 -12.8900 0.0600 90.0000
 0 0.01740740 -12.8900 0.0600 90.0000
 0 0.01576490 -12.8900 0.0600 90.0000
 0 0.01702440 -12.8900 0.0600 90.0000
 0 0.01579060 -12.8900 0.0600 90.0000
 0 0.01722350 -12.8900 0.0600 90.0000
 0 0.01635880 -12.8900 0.0600 90.0000
 0 0.01663250 -12.8900 0.0600 90.0000
 0 0.01765450 -12.8900 0.0600 90.0000
 0 0.01737030 -12.8900 0.0600 90.0000
 0 0.01635850 -12.8900 0.0600 90.0000
 0 0.01639440 -12.8900 0.0600 90.0000
 0 0.01638970 -12.8900 0.0600 90.0000
 0 0.01681110 -12.8900 0.0600 90.0000
 0 0.01676130 -12.8900 0.0600 90.0000
 0 0.01693530 -12.8900 0.0600 90.0000
 0 0.01563710 -12.8900 0.0600 90.0000
