Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
name: Poster
posterPosition: (-7.567, 1.5, 4.975)
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01664940 -12.8900 0.0600 90.0000
 0 0.01739890 -12.8900 0.0600 90.0000
 0 0.01698240 -12.8900 0.0600 90.0000
 0 0.01606120 -12.8900 0.0600 90.0000
 0 0.01722330 -12.8900 0.0600 90.0000
 0 0.01595260 -12.8900 0.0600 90.0000
 0 0.01689680 -12.8900 0.0600 90.0000
 0 0.01657620 -12.8900 0.0600 90.0000
 21 0.01691100 -12.8900 0.0600 90.0000
 0 0.01612900 -12.8900 0.0600 90.0000
 0 0.01749680 -12.8900 0.0600 90.0000
 0 0.01569190 -12.8900 0.0600 90.0000
 0 0.01658550 -12.8900 0.0600 90.0000
 0 0.01734220 -12.8900 0.0600 90.0000
 0 0.01608290 -12.8900 0.0600 90.0000
 0 0.01695680 -12.8900 0.0600 90.0000
 0 0.01661200 -12.8900 0.0600 90.0000
 0 0.01644920 -12.8900 0.0600 90.0000
 0 0.01668060 -12.8900 0.0600 90.0000
 0 0.01626880 -12.8900 0.0600 90.0000
 0 0.01887940 -12.8900 0.0600 90.0000
 0 0.01503840 -12.8900 0.0600 90.0000
 0 0.01637920 -12.8900 0.0600 90.0000
 0 0.01668690 -12.8900 0.0600 90.0000
 0 0.01674260 -12.8900 0.0600 90.0000
 0 0.01669240 -12.8900 0.0600 90.0000
 0 0.01659500 -12.8900 0.0600 90.0000
 0 0.01926770 -12.8900 0.0600 90.0000
 0 0.01488760 -12.8900 0.0600 90.0000
 0 0.01618740 -12.8900 0.0600 90.0000
 0 0.01681670 -12.8900 0.0600 90.0000
 0 0.01690120 -12.8900 0.0600 90.0000
 0 0.01667750 -12.8900 0.0600 90.0000
 0 0.01626960 -12.8900 0.0600 90.0000
 0 0.01606370 -12.8900 0.0600 90.0000
 0 0.01794700 -12.8003 0.0600 90.0000
 0 0.02095610 -12.6955 0.0600 90.0000
 0 0.01128140 -12.6391 0.0600 90.0000
 0 0.01779940 -12.5501 0.0600 90.0000
 0 0.01589660 -12.4706 0.0600 90.0000
 0 0.01606900 -12.3903 0.0600 90.0000
 0 0.01745950 -12.3030 0.0600 90.0000
 0 0.01711870 -12.2174 0.0600 90.0000
 0 0.01569610 -12.1389 0.0600 90.0000
 0 0.01636320 -12.0571 0.0600 90.0000
 0 0.01812950 -11.9664 0.0600 90.0000
 0 0.01785120 -11.8772 0.0600 90.0000
 0 0.01471050 -11.8036 0.0600 90.0000
 0 0.01585210 -11.7244 0.0600 90.0000
 0 0.01759040 -11.6364 0.0600 90.0000
 0 0.01823280 -11.5452 0.0600 90.0000
 0 0.01503420 -11.4701 0.0600 90.0000
 0 0.01650420 -11.3875 0.0600 90.0000
 0 0.01699970 -11.3025 0.0600 90.0000
 0 0.01580040 -11.2235 0.0600 90.0000
 0 0.01692350 -11.1389 0.0600 90.0000
 0 0.01852860 -11.0463 0.0600 90.0000
 0 0.01654880 -10.9635 0.0600 90.0000
 0 0.01672120 -10.8799 0.0600 90.0000
 0 0.01829590 -10.7885 0.0600 90.0000
 0 0.01603660 -10.7083 0.0600 90.0000
 0 0.01560530 -10.6302 0.0600 90.0000
 0 0.01798520 -10.5403 0.0600 90.0000
 0 0.01612670 -10.4597 0.0600 90.0000
 0 0.01682970 -10.3755 0.0600 90.0000
 0 0.01658570 -10.2926 0.0600 90.0000
 0 0.01698400 -10.2077 0.0600 90.0000
 0 0.01720390 -10.1217 0.0600 90.0000
 0 0.01668140 -10.0383 0.0600 90.0000
 0 0.01481350 -9.9642 0.0600 90.0000
 0 0.01928000 -9.8678 0.0600 90.0000
 0 0.01559880 -9.7898 0.0600 90.0000
 0 0.01684490 -9.7056 0.0600 90.0000
 0 0.01663960 -9.6224 0.0600 90.0000
 0 0.01680610 -9.5383 0.0600 90.0000
 0 0.01629300 -9.4569 0.0600 90.0000
 0 0.01791500 -9.3673 0.0600 90.0000
 0 0.01617690 -9.2864 0.0600 90.0000
 0 0.01623050 -9.2053 0.0600 90.0000
 0 0.01593160 -9.1256 0.0600 90.0000
 0 0.01626870 -9.0443 0.0600 90.0000
 0 0.01639740 -8.9623 0.0600 90.0000
 0 0.01642050 -8.8802 0.0600 90.0000
 0 0.01706940 -8.7948 0.0600 90.0000
 0 0.01651620 -8.7122 0.0600 90.0000
 0 0.01705930 -8.6270 0.0600 90.0000
 0 0.01628180 -8.5455 0.0600 90.0000
 0 0.01609860 -8.4650 0.0600 90.0000
 0 0.01710660 -8.3795 0.0600 90.0000
 0 0.01674030 -8.2958 0.0600 90.0000
 0 0.01756780 -8.2080 0.0600 90.0000
 0 0.01665730 -8.1247 0.0600 90.0000
 0 0.01619690 -8.0437 0.0576 91.6934
 0 0.01613140 -7.9632 0.0529 93.3799
 0 0.01503880 -7.8883 0.0464 94.9521
 0 0.01848370 -7.7966 0.0353 96.8846
 0 0.02135160 -7.6911 0.0184 99.1168
 0 0.01175230 -7.6333 0.0078 100.3455
 0 0.01679380 -7.5512 -0.0098 102.1012
 0 0.01653440 -7.4710 -0.0296 103.8299
 0 0.01649820 -7.3915 -0.0517 105.5547
 0 0.01675250 -7.3115 -0.0766 107.3061
 0 0.01880140 -7.2228 -0.1076 109.2718
 0 0.01602920 -7.1479 -0.1363 110.9476
 0 0.01717180 -7.0688 -0.1695 112.7429
 0 0.01668870 -6.9928 -0.2040 114.4876
 0 0.01555650 -6.9230 -0.2383 116.1140
 0 0.01742620 -6.8460 -0.2791 117.9359
 0 0.01617810 -6.7757 -0.3191 119.6273
 0 0.01612700 -6.7068 -0.3610 121.3133
 0 0.01647100 -6.6377 -0.4059 123.0353
 0 0.01647440 -6.5701 -0.4529 124.7577
 0 0.01785190 -6.4984 -0.5061 126.6240
 0 0.01618700 -6.4349 -0.5563 128.3164
 0 0.01593610 -6.3739 -0.6075 129.9825
 0 0.01596500 -6.3142 -0.6605 131.6515
 0 0.01941140 -6.2440 -0.7276 133.6810
 0 0.01612100 -6.1874 -0.7849 135.3664
 0 0.01504340 -6.1361 -0.8399 136.9391
